NEO,BUY,LIMIT,IOC,88.44,11.443,11.383,FILLED,11.82,88.44,1718903428463,1012.01892
NEAR,BUY,LIMIT,IOC,138,5.2686,5.1893,FILLED,7,138,1718903428463,727.0668000000001
LINK,BUY,LIMIT,IOC,114.67,14.392,14.332,FILLED,19.09,114.67,1718903428464,1650.33064
BNB,BUY,LIMIT,IOC,0.14,598.576,595.790,FILLED,0.14,0.14,1718903429101,83.80064000000002
NOT,BUY,LIMIT,IOC,222987,0.0148265,0.0146118,FILLED,198890,222987,1718903429112,3306.1167554999997
AVAX,BUY,LIMIT,IOC,152,27.7820,27.6500,FILLED,9,152,1718903429147,4222.864
SOL,BUY,LIMIT,IOC,1,134.4432,133.8120,FILLED,1,1,1718903429226,134.4432
W,BUY,LIMIT,IOC,167.2,0.3591365,0.3542000,FILLED,115.9,167.2,1718903429336,60.0476228
ORDI,BUY,LIMIT,IOC,1246.8,40.893980,40.563647,FILLED,47.1,1246.8,1718903429401,50986.614263999996
ONG,BUY,LIMIT,IOC,681,0.3499467,0.3447400,FILLED,681,681,1718903429442,238.3137027
WLD,BUY,LIMIT,IOC,300,3.0183744,3.0049440,FILLED,46,300,1718903429458,905.5123199999999
LISTA,BUY,LIMIT,IOC,7599,0.6796311,0.6706336,FILLED,624,7599,1718903431050,5164.5167289
NOT,BUY,LIMIT,IOC,293187,0.0148319,0.0146056,FILLED,29118,293187,1718903431233,4348.5202653
LISTA,BUY,LIMIT,IOC,89,0.6799285,0.6702000,FILLED,89,89,1718903432393,60.513636500000004
LISTA,BUY,LIMIT,IOC,3105,0.6802097,0.6709953,FILLED,2961,3105,1718903437510,2112.0511185
ONG,BUY,LIMIT,IOC,199,0.3502689,0.3447700,FILLED,13,199,1718903438569,69.7035111
W,BUY,LIMIT,IOC,1424.1,0.3596693,0.3546425,FILLED,305.4,1424.1,1718903443058,512.20505013
ORDI,BUY,LIMIT,IOC,105.6,40.800423,40.549598,FILLED,7.5,105.6,1718903443197,4308.5246688
LISTA,BUY,LIMIT,IOC,5051,0.6824469,0.6733354,FILLED,949,5051,1718903455143,3447.0392918999996
BOME,BUY,LIMIT,IOC,75242,0.0091299,0.0089968,FILLED,35977,75242,1718903464059,686.9519358
TURBO,BUY,LIMIT,IOC,2068,0.0059009,0.0058270,FILLED,2068,2068,1718903466212,12.203061199999999
ONG,BUY,LIMIT,IOC,508,0.3508268,0.3454700,FILLED,508,508,1718903467307,178.2200144
TURBO,BUY,LIMIT,IOC,32559,0.0059034,0.0058160,FILLED,11781,32559,1718903468251,192.2088006
STRK,BUY,LIMIT,IOC,2839.6,0.7389944,0.7283698,FILLED,293.4,2839.6,1718903468510,2098.44849824
LISTA,BUY,LIMIT,IOC,310,0.6813336,0.6711000,FILLED,310,310,1718903474054,211.213416
PENDLE,BUY,LIMIT,IOC,18,5.9924093,5.9061666,FILLED,10,18,1718903474054,107.8633674
ENS,BUY,LIMIT,IOC,13.5,26.037,25.659,FILLED,3.5,13.5,1718903474054,351.4995
AGIX,SELL,LIMIT,IOC,372,0.6328693,0.6454905,FILLED,35,372,1718903474054,235.4273796
NEAR,BUY,LIMIT,IOC,831,5.2920,5.2124,FILLED,10,831,1718903474651,4397.652
BAKE,BUY,LIMIT,IOC,64,0.3390,0.3343,FILLED,64,64,1718903477501,21.696
PEOPLE,BUY,LIMIT,IOC,81,0.08896,0.08772,FILLED,81,81,1718903478517,7.20576
PEOPLE,BUY,LIMIT,IOC,1319,0.08904,0.08771,FILLED,1319,1319,1718903480046,117.44376
IO,BUY,LIMIT,IOC,23.2,4.0483013,3.9920000,FILLED,23.2,23.2,1718903481227,93.92059016
ZK,BUY,LIMIT,IOC,1916,0.1992059,0.1964000,FILLED,1916,1916,1718903481443,381.6785044
PEOPLE,BUY,LIMIT,IOC,291,0.08906,0.08776,FILLED,291,291,1718903483176,25.91646
TURBO,BUY,LIMIT,IOC,12511,0.0059093,0.0058240,FILLED,4694,12511,1718903487161,73.9312523
ZRO,SELL,LIMIT,IOC,342.9,3.4141902,3.4640000,FILLED,342.9,342.9,1718903583219,1170.72581958
